url:Intro Footage,scale:Intro Footage,value:Intro Logo Colors,value:Show Title,text:Title Text,textFont:Title Text,value:Show Subtitle,text:Subtitle Text,textFont:Subtitle Text,text:Brand Name Text,textFont:Brand Name Text,text:Product Name Text,textFont:Product Name Text,url:Product Photo,scale:Product Photo,value:Number of Details,text:Detail 1 Text,textFont:Detail 1 Text,text:Detail 2 Text,textFont:Detail 2 Text,text:Detail 3 Text,textFont:Detail 3 Text,value:Show Colors,text:Colors Label,textFont:Colors Label,value:Number of Colors,text:Color 1 Value,textFont:Color 1 Value,text:Color 2 Value,textFont:Color 2 Value,text:Color 3 Value,textFont:Color 3 Value,text:Color 4 Value,textFont:Color 4 Value,text:Color 5 Value,textFont:Color 5 Value,value:Total Reviews,text:Reviews Label,textFont:Reviews Label,value:Product Star Rating,text:Review 1 Text,textFont:Review 1 Text,text:Review 1 Name,textFont:Review 1 Name,value:Review 1 Rating,text:Review 2 Text,textFont:Review 2 Text,text:Review 2 Name,textFont:Review 2 Name,value:Review 2 Rating,text:Review 3 Text,textFont:Review 3 Text,text:Review 3 Name,textFont:Review 3 Name,value:Review 3 Rating,url:Outro Image,scale:Outro Image,value:Outro Logo Colors,value:Show Subhead,text:Subhead Text,textFont:Subhead Text,value:Show Headline,text:Headline Text,textFont:Headline Text,url:Mogrt Audio,audioPreference:Mogrt Audio,preset:id
Video_Beach.mp4,fill_frame,0,TRUE,Soak Up the Sun,SourceSerif4-Bold,FALSE,Summer Comfort Redefined,SourceSans3-Bold,BlueHorizon,SourceSans3-Bold,Coastal Breeze Oversized Towel,SourceSerif4-Bold,Product_Towel.jpg,fit_to_frame,2,Sand resistant fabric shakes clean with ease,SourceSans3-Bold,Oversized design offers plenty of lounging space,SourceSans3-Bold,-,SourceSans3-Bold,TRUE,Beach colors,SourceSerif4-Bold,4,FFADAD,SourceSans3-Bold,FFD6A5,SourceSans3-Bold,FDFFB6,SourceSans3-Bold,CAFFBF,SourceSans3-Bold,9BF6FF,SourceSans3-Bold,76,Reviews,SourceSans3-Bold,5,This towel is big comfortable and perfect for relaxing by the water.,SourceSerif4-Bold,Harper J.,SourceSans3-Bold,5,It dries quickly and packs down small for travel.,SourceSerif4-Bold,Logan F.,SourceSans3-Bold,4,The quality is excellent and feels luxurious.,SourceSerif4-Bold,Amelia R.,SourceSans3-Bold,5,Photo_Beach.jpg,fill_frame,1,TRUE,Shop summer now,SourceSans3-Bold,FALSE,wknd.site/summer,SourceSerif4-Bold,Music_Track3.wav,replace,ffs_video_api_square_1080p_hq
Video_Mountains.mp4,fill_frame,0,TRUE,Embrace the Cold,SourceSerif4-Bold,TRUE,Warmth and Protection for Every Adventure,SourceSans3-Bold,PulsePeak,SourceSans3-Bold,Velocity Pro Winter Performance Coat,SourceSerif4-Bold,Product_Coat.jpg,fit_to_frame,3,Advanced insulation technology keeps you warm in freezing conditions,SourceSans3-Bold,Breathable thermal lining helps regulate warmth during activity,SourceSans3-Bold,Durable construction keeps you protected through long winter adventures,SourceSans3-Bold,TRUE,Available colors,SourceSerif4-Bold,5,0A1F44,SourceSans3-Bold,1B998B,SourceSans3-Bold,ED217C,SourceSans3-Bold,2D3047,SourceSans3-Bold,FFFD82,SourceSans3-Bold,367,Ratings,SourceSans3-Bold,5,The insulation is warm and incredibly reliable in freezing weather.,SourceSerif4-Bold,Mason C.,SourceSans3-Bold,5,It keeps me warm even during my longest winter hikes.,SourceSerif4-Bold,Isabella D.,SourceSans3-Bold,5,The design is practical and easy to adjust while wearing gloves.,SourceSerif4-Bold,Lucas H.,SourceSans3-Bold,4,Photo_Mountains.jpg,fill_frame,2,FALSE,Upgrade your run at,SourceSans3-Bold,TRUE,wknd.site/hike,SourceSerif4-Bold,Music_Track1.wav,replace,ffs_video_api_square_1080p_hq
Video_Mountains.mp4,fill_frame,1,TRUE,Summit Ready Adventures,SourceSerif4-Bold,TRUE,Performance Gear for Every Trail,SourceSans3-Bold,TrekNorth,SourceSans3-Bold,Alpine Trail 35L Hiking Pack,SourceSerif4-Bold,Product_Backpack.jpg,fit_to_frame,3,Ergonomic padded straps provide all-day comfort,SourceSans3-Bold,Water resistant fabric keeps your gear dry in light rain,SourceSans3-Bold,Multiple compartments make organizing essentials simple,SourceSans3-Bold,TRUE,Available shades,SourceSerif4-Bold,4,1A2B3C,SourceSans3-Bold,3F704D,SourceSans3-Bold,7C4DFF,SourceSans3-Bold,FF6F3C,SourceSans3-Bold,A1B2C3,SourceSans3-Bold,284,User Reviews,SourceSans3-Bold,5,This backpack feels incredibly durable and fits everything I need for a full day hike.,SourceSerif4-Bold,Liam T.,SourceSans3-Bold,5,The storage layout is smart and keeps my gear perfectly organized.,SourceSerif4-Bold,Sophie M.,SourceSans3-Bold,4,Comfortable to wear even when fully loaded on steep trails.,SourceSerif4-Bold,Ethan R.,SourceSans3-Bold,5,Photo_Mountains.jpg,fill_frame,0,TRUE,Shop the latest gear at,SourceSans3-Bold,TRUE,wknd.site/store,SourceSerif4-Bold,Music_Track2.wav,replace,ffs_video_api_square_1080p_hq
Video_Beach.mp4,fill_frame,2,TRUE,Beach Days Made Easy,SourceSerif4-Bold,TRUE,Relaxed Essentials for Sunny Escapes,SourceSans3-Bold,Coastline Co.,SourceSans3-Bold,SunRoll Premium Beach Towel,SourceSerif4-Bold,Product_Towel.jpg,fit_to_frame,2,Ultra soft cotton blend feels great against the skin,SourceSans3-Bold,Quick dry fabric makes it perfect for travel,SourceSans3-Bold,-,SourceSans3-Bold,TRUE,Color options,SourceSerif4-Bold,3,F9C74F,SourceSans3-Bold,90BE6D,SourceSans3-Bold,5775A0,SourceSans3-Bold,FFFFFF,SourceSans3-Bold,0,SourceSans3-Bold,142,Customer Reviews,SourceSans3-Bold,4,"This towel is soft, absorbent and perfect for long beach afternoons.",SourceSerif4-Bold,Olivia K.,SourceSans3-Bold,4,I love how compact it rolls up in my bag.,SourceSerif4-Bold,Noah B.,SourceSans3-Bold,5,The colors are vibrant and still look new after several washes.,SourceSerif4-Bold,Ava L.,SourceSans3-Bold,4,Photo_Beach.jpg,fill_frame,1,TRUE,Discover more at,SourceSans3-Bold,FALSE,wknd.site/beach,SourceSerif4-Bold,Music_Track3.wav,replace,ffs_video_api_square_1080p_hq
Video_Forest.mp4,fill_frame,1,FALSE,Trail Tested Performance,SourceSerif4-Bold,TRUE,Built for Weekend Explorers,SourceSans3-Bold,RidgeLine,SourceSans3-Bold,Explorer Lite Daypack 22L,SourceSerif4-Bold,Product_Backpack.jpg,fit_to_frame,1,Lightweight design makes it ideal for quick hikes,SourceSans3-Bold,-,SourceSans3-Bold,-,SourceSans3-Bold,FALSE,Available tones,SourceSerif4-Bold,2,264A53,SourceSans3-Bold,E76F51,SourceSans3-Bold,101010,SourceSans3-Bold,FFFFFF,SourceSans3-Bold,CCCCCC,SourceSans3-Bold,198,Top Reviews,SourceSans3-Bold,4,Perfect size for day trips and very comfortable to carry.,SourceSerif4-Bold,Mia S.,SourceSans3-Bold,4,The material feels tough and ready for rugged use.,SourceSerif4-Bold,Benjamin W.,SourceSans3-Bold,4,Great value for such a versatile hiking pack.,SourceSerif4-Bold,Charlotte P.,SourceSans3-Bold,5,Photo_Forest.jpg,fill_frame,0,TRUE,Find yours at,SourceSans3-Bold,TRUE,wknd.site/packs,SourceSerif4-Bold,Music_Track2.wav,replace,ffs_video_api_square_1080p_hq
Video_Forest.mp4,fill_frame,2,TRUE,Elevate Every Adventure,SourceSerif4-Bold,TRUE,Designed for the Outdoors,SourceSans3-Bold,WildForge,SourceSans3-Bold,SummitFlex 40L Trek Pack,SourceSerif4-Bold,Product_Backpack.jpg,fit_to_frame,3,Adjustable torso system ensures a custom fit,SourceSans3-Bold,Breathable back panel keeps you cool on climbs,SourceSans3-Bold,Durable buckles withstand tough conditions,SourceSans3-Bold,TRUE,Available colors,SourceSerif4-Bold,3,1D3557,SourceSans3-Bold,457B9D,SourceSans3-Bold,A8DADC,SourceSans3-Bold,F1FAEE,SourceSans3-Bold,E63946,SourceSans3-Bold,412,User Ratings,SourceSans3-Bold,5,This pack handles long treks with comfort and stability.,SourceSerif4-Bold,Daniel P.,SourceSans3-Bold,5,Plenty of room and smart pockets for organizing gear.,SourceSerif4-Bold,Chloe N.,SourceSans3-Bold,4,It feels rugged and dependable on every hike.,SourceSerif4-Bold,Henry L.,SourceSans3-Bold,5,Photo_Forest.jpg,fill_frame,2,FALSE,Explore more at,SourceSans3-Bold,FALSE,wknd.site/trek,SourceSerif4-Bold,Music_Track1.wav,replace,ffs_video_api_square_1080p_hq
Video_Mountains.mp4,fill_frame,0,TRUE,Stay Out Longer,SourceSerif4-Bold,TRUE,Engineered Warmth Meets Everyday Comfort,SourceSans3-Bold,StrideLab,SourceSans3-Bold,EnduroSync Thermal Expedition Coat,SourceSerif4-Bold,Product_Coat.jpg,fit_to_frame,2,Weatherproof materials help block wind and retain body heat,SourceSans3-Bold,Technical materials help maintain warmth and mobility outdoors,SourceSans3-Bold,-,SourceSans3-Bold,TRUE,Colorways,SourceSerif4-Bold,2,22223B,SourceSans3-Bold,4A4E69,SourceSans3-Bold,9A8C98,SourceSans3-Bold,C9ADA7,SourceSans3-Bold,F2E9E4,SourceSans3-Bold,255,Customer Ratings,SourceSans3-Bold,4,It keeps me comfortable with great warmth and thoughtful features.,SourceSerif4-Bold,Ella T.,SourceSans3-Bold,4,"Comfortable to wear all day even in cold, windy conditions.",SourceSerif4-Bold,Jack W.,SourceSans3-Bold,4,The outer fabric blocks wind and handles snow with ease.,SourceSerif4-Bold,Grace H.,SourceSans3-Bold,5,Photo_Mountains.jpg,fill_frame,1,FALSE,Start training at,SourceSans3-Bold,TRUE,wknd.site/coats,SourceSerif4-Bold,Music_Track1.wav,replace,ffs_video_api_square_1080p_hq
Video_Beach.mp4,fill_frame,1,FALSE,Weekend by the Waves,SourceSerif4-Bold,TRUE,Simple Essentials for Sunny Trips,SourceSans3-Bold,SunDrift,SourceSans3-Bold,Shoreline Classic Beach Towel,SourceSerif4-Bold,Product_Towel.jpg,fit_to_frame,1,Soft woven fabric delivers lasting comfort,SourceSans3-Bold,-,SourceSans3-Bold,-,SourceSans3-Bold,FALSE,Available colors,SourceSerif4-Bold,1,FFB703,SourceSans3-Bold,02304A,SourceSans3-Bold,8ECAE6,SourceSans3-Bold,219EBC,SourceSans3-Bold,FB8500,SourceSans3-Bold,89,Reviews,SourceSans3-Bold,4,Lightweight and super soft! This towel is perfect for beach days.,SourceSerif4-Bold,Aiden S.,SourceSans3-Bold,4,It rolls up neatly and fits easily in my tote bag.,SourceSerif4-Bold,Lily C.,SourceSans3-Bold,5,The fabric feels premium and dries fast.,SourceSerif4-Bold,Owen D.,SourceSans3-Bold,4,Photo_Beach.jpg,fill_frame,0,TRUE,See the full line at,SourceSans3-Bold,TRUE,wknd.site/beach,SourceSerif4-Bold,Music_Track3.wav,replace,ffs_video_api_square_1080p_hq
Video_Forest.mp4,fill_frame,2,TRUE,Adventure Awaits,SourceSerif4-Bold,TRUE,"Pack Smart, Travel Far",SourceSans3-Bold,NorthVale,SourceSans3-Bold,PeakQuest Adventure Backpack 30L,SourceSerif4-Bold,Product_Backpack.jpg,fit_to_frame,2,Compression straps keep loads secure and balanced,SourceSans3-Bold,Padded laptop sleeve protects tech on the go,SourceSans3-Bold,-,SourceSans3-Bold,TRUE,Available hues,SourceSerif4-Bold,5,2B2D42,SourceSans3-Bold,8D99AE,SourceSans3-Bold,EDF2F4,SourceSans3-Bold,EF233C,SourceSans3-Bold,438A15,SourceSans3-Bold,321,User Reviews,SourceSans3-Bold,5,This backpack is the perfect blend of style and performance.,SourceSerif4-Bold,Zoe M.,SourceSans3-Bold,5,Great support and storage for both travel and hiking.,SourceSerif4-Bold,Caleb R.,SourceSans3-Bold,4,It looks sharp and feels built to last.,SourceSerif4-Bold,Nora B.,SourceSans3-Bold,5,Photo_Forest.jpg,fill_frame,1,TRUE,Get yours today at,SourceSans3-Bold,TRUE,wknd.site/adventure,SourceSerif4-Bold,Music_Track2.wav,replace,ffs_video_api_square_1080p_hq
Video_Mountains.mp4,fill_frame,1,TRUE,Face the Elements,SourceSerif4-Bold,TRUE,Next-Level Cold Weather Protection,SourceSans3-Bold,MotionArc,SourceSans3-Bold,AeroPulse Arctic Performance Jacket,SourceSerif4-Bold,Product_Coat.jpg,fit_to_frame,3,Adjustable fit adapts easily to changing winter conditions,SourceSans3-Bold,Smart pocket layout keeps essentials secure and within reach,SourceSans3-Bold,Lightweight insulation keeps warmth high without extra bulk,SourceSans3-Bold,TRUE,Available colors,SourceSerif4-Bold,4,14213D,SourceSans3-Bold,FCA311,SourceSans3-Bold,E5E5E5,SourceSans3-Bold,C0305C,SourceSans3-Bold,9B5DE5,SourceSans3-Bold,468,Top Reviews,SourceSans3-Bold,5,This coat has completely changed how I handle winter weather.,SourceSerif4-Bold,Ryan K.,SourceSans3-Bold,5,The materials feel durable yet surprisingly comfortable.,SourceSerif4-Bold,Hannah E.,SourceSans3-Bold,4,Excellent warmth and a clean modern outdoor look.,SourceSerif4-Bold,Matthew I.,SourceSans3-Bold,5,Photo_Mountains.jpg,fill_frame,0,TRUE,Upgrade today at,SourceSans3-Bold,TRUE,wknd.site/winter,SourceSerif4-Bold,Music_Track3.wav,replace,ffs_video_api_square_1080p_hq
