url:Intro Footage,scale:Intro Footage,value:Intro Logo Colors,text:Title Text,textFont:Title Text,text:Subtitle Text,textFont:Subtitle Text,text:Brand Name Text,textFont:Brand Name Text,text:Product Name Text,textFont:Product Name Text,url:Product Photo,scale:Product Photo,value:Show Colors,text:Color 1 Value,textFont:Color 1 Value,text:Color 2 Value,textFont:Color 2 Value,text:Color 3 Value,textFont:Color 3 Value,value:Product Star Rating,url:Outro Image,scale:Outro Image,url:Mogrt Audio,audioPreference:Mogrt Audio,preset:id
Video_Beach.mp4,fill_frame,0,Soak Up the Sun,SourceSerif4-Bold,Summer Comfort Redefined,SourceSans3-Bold,BlueHorizon,SourceSans3-Bold,Coastal Breeze Oversized Towel,SourceSerif4-Bold,Product_Towel.jpg,fit_to_frame,TRUE,FFADAD,SourceSans3-Bold,FFD6A5,SourceSans3-Bold,FDFFB6,SourceSans3-Bold,5,Photo_Beach.jpg,fill_frame,Music_Track3.wav,replace,ffs_video_api_square_1080p_hq
Video_Mountains.mp4,fill_frame,0,Embrace the Cold,SourceSerif4-Bold,Warmth and Protection for Every Adventure,SourceSans3-Bold,PulsePeak,SourceSans3-Bold,Velocity Pro Winter Performance Coat,SourceSerif4-Bold,Product_Coat.jpg,fit_to_frame,TRUE,0A1F44,SourceSans3-Bold,1B998B,SourceSans3-Bold,ED217C,SourceSans3-Bold,3,Photo_Mountains.jpg,fill_frame,Music_Track1.wav,replace,ffs_video_api_square_1080p_hq
Video_Mountains.mp4,fill_frame,1,Summit Ready Adventures,SourceSerif4-Bold,Performance Gear for Every Trail,SourceSans3-Bold,TrekNorth,SourceSans3-Bold,Alpine Trail 35L Hiking Pack,SourceSerif4-Bold,Product_Backpack.jpg,fit_to_frame,TRUE,1A2B3C,SourceSans3-Bold,3F704D,SourceSans3-Bold,7C4DFF,SourceSans3-Bold,5,Photo_Mountains.jpg,fill_frame,Music_Track2.wav,replace,ffs_video_api_square_1080p_hq
Video_Beach.mp4,fill_frame,2,Beach Days Made Easy,SourceSerif4-Bold,Relaxed Essentials for Sunny Escapes,SourceSans3-Bold,Coastline Co.,SourceSans3-Bold,SunRoll Premium Beach Towel,SourceSerif4-Bold,Product_Towel.jpg,fit_to_frame,TRUE,F9C74F,SourceSans3-Bold,90BE6D,SourceSans3-Bold,5775A0,SourceSans3-Bold,4,Photo_Beach.jpg,fill_frame,Music_Track3.wav,replace,ffs_video_api_square_1080p_hq
Video_Forest.mp4,fill_frame,1,Trail Tested Performance,SourceSerif4-Bold,Built for Weekend Explorers,SourceSans3-Bold,RidgeLine,SourceSans3-Bold,Explorer Lite Daypack 22L,SourceSerif4-Bold,Product_Backpack.jpg,fit_to_frame,FALSE,264A53,SourceSans3-Bold,E76F51,SourceSans3-Bold,101010,SourceSans3-Bold,4,Photo_Forest.jpg,fill_frame,Music_Track2.wav,replace,ffs_video_api_square_1080p_hq
Video_Forest.mp4,fill_frame,2,Elevate Every Adventure,SourceSerif4-Bold,Designed for the Outdoors,SourceSans3-Bold,WildForge,SourceSans3-Bold,SummitFlex 40L Trek Pack,SourceSerif4-Bold,Product_Backpack.jpg,fit_to_frame,TRUE,1D3557,SourceSans3-Bold,457B9D,SourceSans3-Bold,A8DADC,SourceSans3-Bold,5,Photo_Forest.jpg,fill_frame,Music_Track1.wav,replace,ffs_video_api_square_1080p_hq
Video_Mountains.mp4,fill_frame,0,Stay Out Longer,SourceSerif4-Bold,Engineered Warmth Meets Everyday Comfort,SourceSans3-Bold,StrideLab,SourceSans3-Bold,EnduroSync Thermal Expedition Coat,SourceSerif4-Bold,Product_Coat.jpg,fit_to_frame,TRUE,22223B,SourceSans3-Bold,4A4E69,SourceSans3-Bold,9A8C98,SourceSans3-Bold,4,Photo_Mountains.jpg,fill_frame,Music_Track1.wav,replace,ffs_video_api_square_1080p_hq
Video_Beach.mp4,fill_frame,1,Weekend by the Waves,SourceSerif4-Bold,Simple Essentials for Sunny Trips,SourceSans3-Bold,SunDrift,SourceSans3-Bold,Shoreline Classic Beach Towel,SourceSerif4-Bold,Product_Towel.jpg,fit_to_frame,FALSE,FFB703,SourceSans3-Bold,02304A,SourceSans3-Bold,8ECAE6,SourceSans3-Bold,4,Photo_Beach.jpg,fill_frame,Music_Track3.wav,replace,ffs_video_api_square_1080p_hq
Video_Forest.mp4,fill_frame,2,Adventure Awaits,SourceSerif4-Bold,"Pack Smart, Travel Far",SourceSans3-Bold,NorthVale,SourceSans3-Bold,PeakQuest Adventure Backpack 30L,SourceSerif4-Bold,Product_Backpack.jpg,fit_to_frame,TRUE,2B2D42,SourceSans3-Bold,8D99AE,SourceSans3-Bold,EDF2F4,SourceSans3-Bold,5,Photo_Forest.jpg,fill_frame,Music_Track2.wav,replace,ffs_video_api_square_1080p_hq
Video_Mountains.mp4,fill_frame,1,Face the Elements,SourceSerif4-Bold,Next-Level Cold Weather Protection,SourceSans3-Bold,MotionArc,SourceSans3-Bold,AeroPulse Arctic Performance Jacket,SourceSerif4-Bold,Product_Coat.jpg,fit_to_frame,TRUE,14213D,SourceSans3-Bold,FCA311,SourceSans3-Bold,E5E5E5,SourceSans3-Bold,5,Photo_Mountains.jpg,fill_frame,Music_Track3.wav,replace,ffs_video_api_square_1080p_hq
